gene_name,gene_type
CREB1,transcription_factor
ATF3,transcription_factor
FOSL1,transcription_factor
JUN,transcription_factor
MAFB,transcription_factor
ATF6B,transcription_factor
CEBPA,transcription_factor
TFAP2E,transcription_factor
HES2,transcription_factor
SREBF1,transcription_factor
TCFL5,transcription_factor
USF2,transcription_factor
HES1,transcription_factor
TCF21,transcription_factor
MYOG,transcription_factor
MYOD1,transcription_factor
MYCN,transcription_factor
ASCL1,transcription_factor
TCF12,transcription_factor
HES6,transcription_factor
FERD3L,transcription_factor
MSGN1,transcription_factor
NEUROD1,transcription_factor
HAND2,transcription_factor
PTF1A,transcription_factor
NPAS2,transcription_factor
ATOH1,transcription_factor
ARNT2,transcription_factor
NHLH2,transcription_factor
ATOH7,transcription_factor
NEUROG1,transcription_factor
ASCL2,transcription_factor
MESP2,transcription_factor
CREM,transcription_factor
BACH2,transcription_factor
FOSB,transcription_factor
JUND,transcription_factor
CREB3L4,transcription_factor
CREB5,transcription_factor
BATF,transcription_factor
FOS,transcription_factor
JUNB,transcription_factor
MAF,transcription_factor
MAFA,transcription_factor
ZNF263,transcription_factor
DPF1,transcription_factor
ZBTB32,transcription_factor
ZNF76,transcription_factor
KLF6,transcription_factor
ZNF343,transcription_factor
KLF5,transcription_factor
ZNF821,transcription_factor
ZNF174,transcription_factor
KLF3,transcription_factor
ZNF684,transcription_factor
ZBTB45,transcription_factor
SNAI1,transcription_factor
ZNF384,transcription_factor
KLF2,transcription_factor
ZSCAN5A,transcription_factor
KLF4,transcription_factor
ZSCAN9,transcription_factor
ZIC5,transcription_factor
ZNF787,transcription_factor
OSR1,transcription_factor
ZNF660,transcription_factor
ZNF385D,transcription_factor
ZSCAN1,transcription_factor
KLF10,transcription_factor
ZNF276,transcription_factor
ZNF281,transcription_factor
KLF15,transcription_factor
ZNF12,transcription_factor
ZNF704,transcription_factor
OSR2,transcription_factor
ZNF23,transcription_factor
ZNF444,transcription_factor
ZNF597,transcription_factor
ZBTB43,transcription_factor
ZNF32,transcription_factor
ZNF296,transcription_factor
ZBTB26,transcription_factor
KLF17,transcription_factor
OVOL1,transcription_factor
ZNF449,transcription_factor
HIC1,transcription_factor
ZBTB33,transcription_factor
ZNF454,transcription_factor
ZFP42,transcription_factor
ZNF771,transcription_factor
ZBTB2,transcription_factor
ZFP41,transcription_factor
ZBTB20,transcription_factor
ZFP1,transcription_factor
ZBTB37,transcription_factor
SNAI3,transcription_factor
ZNF501,transcription_factor
ZNF396,transcription_factor
ZSCAN23,transcription_factor
ZNF177,transcription_factor
ZNF250,transcription_factor
ZNF140,transcription_factor
ZNF460,transcription_factor
ZBTB14,transcription_factor
ZBTB12,transcription_factor
ZNF580,transcription_factor
SP9,transcription_factor
ZSCAN31,transcription_factor
ZBTB22,transcription_factor
ZNF345,transcription_factor
MBNL2,transcription_factor
YBX1,transcription_factor
LIN28B,transcription_factor
DMRTC2,transcription_factor
DMRTA1,transcription_factor
ETV7,transcription_factor
ELF2,transcription_factor
ETS2,transcription_factor
FOXA2,transcription_factor
FOXA1,transcription_factor
FOXQ1,transcription_factor
FOXA3,transcription_factor
FOXE1,transcription_factor
FOXL2,transcription_factor
FOXR2,transcription_factor
GATA6,transcription_factor
GATA2,transcription_factor
TFCP2L1,transcription_factor
UBP1,transcription_factor
HOXA11,transcription_factor
ISL1,transcription_factor
HOXC8,transcription_factor
BARX2,transcription_factor
LHX5,transcription_factor
SIX4,transcription_factor
HOXA5,transcription_factor
HOXA6,transcription_factor
HOXB6,transcription_factor
NKX3-2,transcription_factor
NANOG,transcription_factor
NKX2-3,transcription_factor
HOXB8,transcription_factor
HOXB1,transcription_factor
LHX4,transcription_factor
HOXA7,transcription_factor
BARHL1,transcription_factor
SIX1,transcription_factor
HOXD1,transcription_factor
HOXD3,transcription_factor
HOXD9,transcription_factor
HOXD10,transcription_factor
CDX4,transcription_factor
RHOXF2,transcription_factor
SIX3,transcription_factor
NKX6-2,transcription_factor
LHX8,transcription_factor
TLX3,transcription_factor
