cell_type,gene_name,logfoldchanges,pvals_adj,pct_nz_group
fibroblast,PTMS,2.521802,1.5032166749241842e-117,0.8398781313473257
fibroblast,MEIS2,5.0346446,2.0088620094237654e-117,0.5098171970209885
fibroblast,CTSF,-15.84085,4.152748261749941e-117,0.7224479049123599
fibroblast,NAMPT,8.481522,4.38506494422404e-117,0.7651019333483788
fibroblast,CAMK2D,6.556973,6.388448874439085e-117,0.513729030316708
fibroblast,SPTBN1,-20.500072,8.392053562916216e-116,0.8865944482058226
fibroblast,RTN4,-29.67743,2.2476719389068948e-115,0.9597908673738058
fibroblast,ZBTB16,-19.514929,2.4506662293193823e-115,0.8149401940871135
fibroblast,MPZL1,-7.6435843,3.3005831234026237e-115,0.6833295719551644
fibroblast,CTSH,8.992286,1.9600934288850147e-114,0.5231700895208005
fibroblast,CALU,-13.577012,2.4990746355482528e-114,0.7878582712705935
fibroblast,ADM,26.377264,3.946193652155444e-114,0.5059805912886481
fibroblast,NDN,-4.004396,1.0528908853550324e-113,0.7074776197998947
fibroblast,DLC1,-7.8010907,3.3813138144237913e-113,0.6020085759422252
fibroblast,MIR22HG,7.3003235,4.4288313412531136e-113,0.5056044534717521
fibroblast,ID2,-21.200638,8.854315723030204e-113,0.76498909200331
fibroblast,TNFAIP2,7.6670623,1.5184963514472425e-112,0.577183480027082
fibroblast,CYGB,-2.0127335,3.8933446408556945e-110,0.5393816294290228
fibroblast,SCARB2,-8.340458,9.644165627507203e-110,0.7474234559542616
fibroblast,PAM,-8.51932,2.5258296661998123e-109,0.6043030166252915
fibroblast,PROS1,6.007195,4.651764821025391e-109,0.5048897916196494
fibroblast,ARHGAP10,-4.434446,5.171584802215571e-109,0.5736477845482585
fibroblast,AHNAK,-4.43819,2.5425762403085024e-108,0.9132626194237569
fibroblast,ALDH2,-7.992716,4.8662981233572665e-108,0.7749943579327465
fibroblast,BRI3,-8.809876,2.733576846980632e-107,0.8847137591213421
fibroblast,FOXO1,-3.159914,2.211448208511688e-105,0.6339050628150155
fibroblast,NBL1,-2.676454,4.878510604263597e-105,0.6829158203565786
fibroblast,ITM2B,-83.32684,5.8219079488509555e-105,0.9873993831339802
fibroblast,RASD1,11.152997,2.855336208313876e-104,0.549424509140149
fibroblast,MAF,6.7992887,1.6123332572351842e-103,0.5233205446475588
fibroblast,APOE,34.871918,8.904157355477556e-103,0.5272323779432784
fibroblast,TFPI,-14.603644,1.8570474412710123e-102,0.9096140825998645
fibroblast,CALHM2,5.3514805,2.866683203058449e-100,0.5100052659294365
fibroblast,ECE1,-7.263484,3.3597230774155716e-100,0.5271947641615888
fibroblast,HSPA1A,20.527924,2.965479781992897e-99,0.8053862935379523
