cell_type,gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Fibroblast,CD81,39.58545,0.1882937,0.0,0.0,0.9665989618596253,0.9814313529942537
Fibroblast,SPARC,37.916485,0.20853207,0.0,0.0,0.9038967877830437,0.9680391318801349
Fibroblast,CEBPD,37.74845,0.20373045,0.0,0.0,0.9723162566764463,0.9679441515885454
Fibroblast,PMP22,36.918423,0.195112,2.3399204004319444e-298,2.9289208427760075e-298,0.9259384638531558,0.9647623118202973
Fibroblast,ZFP36L1,36.882668,0.20249014,8.762156078169183e-298,1.0963944222447505e-297,0.9280448356277741,0.971031011065204
Fibroblast,LAPTM4A,36.813774,0.16013749,1.1116065439263973e-296,1.390163517376673e-296,0.9616339426765967,0.9838058602839911
Fibroblast,FBLN2,36.558582,0.21548773,1.3026495691590219e-292,1.626372689482504e-292,0.9089370345294516,0.9642874103623498
Fibroblast,S100A6,36.148857,0.21860275,3.877563073255729e-286,4.828809985073143e-286,0.9943955465282479,0.9795317471624638
Fibroblast,LMNA,35.970066,0.2111469,2.458266664913651e-283,3.0577404963478233e-283,0.9292484766418416,0.9668993683810609
Fibroblast,PSAP,35.92013,0.14737324,1.48170462919773e-282,1.842398191094702e-282,0.9537350485217784,0.9861803675737284
Fibroblast,ZFP36,35.684193,0.19868511,6.95310993663789e-279,8.63321341877963e-279,0.9152937636349958,0.9788668851213373
Fibroblast,IFITM3,35.41665,0.1960918,9.465282529282352e-275,1.1728988336574124e-274,0.9781840066200256,0.9779645723512371
Fibroblast,PLAC9,34.080147,0.20802209,1.4521185663386704e-254,1.7859047725020507e-254,0.9174753629729933,0.9639074891959918
Fibroblast,TMEM59,33.619858,0.12172155,8.601498067048527e-248,1.0553457515443113e-247,0.923982547205296,0.9911193427363822
Fibroblast,SQSTM1,33.271656,0.17150137,9.926557613936477e-243,1.2156881093315808e-242,0.9287594974798766,0.9821437051811749
Fibroblast,IGFBP6,32.732723,0.24067219,5.3486427462968565e-235,6.531313650174632e-235,0.9278943805010156,0.964619841382913
Fibroblast,LGALS3,31.659756,0.1914145,5.566914735136975e-220,6.747582655905808e-220,0.9484315053035433,0.9650947428408605
Fibroblast,PPIB,31.517868,0.10744806,4.944224916256409e-218,5.987596176037297e-218,0.9387647634093131,0.9923540865270456
Fibroblast,MGP,31.283392,0.2682613,7.850767071388817e-215,9.494746868617062e-215,0.9841645979086737,0.9639074891959918
Fibroblast,TIMP1,30.959106,0.18945529,1.915955822592343e-210,2.312975323859302e-210,0.960054163845633,0.9737854395212994
Fibroblast,C3,28.295599,0.22265922,3.914749293700142e-176,4.662275067021615e-176,0.940908748965621,0.9639074891959918
Fibroblast,IFITM2,27.936567,0.1366185,9.599764606935732e-172,1.141024097743297e-171,0.9324456480854585,0.9914042836111507
